,,,,$HKD/元,,,
,綠茶,,,,,,
,1,明前獅峰龍井,250g,"$1,388",,Premium Lion Peak Longjing Tea,
,2,明前龍井,250g,$880,,Premium Longjing Tea,
,3,雨前龍井,250g,$498,,Superior Longjing Tea,
,4,雨前龍井,60g (12x5g),$148,,Superior Longjing Tea,
,5,獅峰龍井,250g,$380,,Lion Peak Longjing Tea,
,6,一級龍井,250g,$268,,Longjing Tea,
,7,春風香片,250g,$118,,Jasmine Tea,
,7.1,春風香片,160g (20x8g),$88,,Jasmine Tea,
,8,龍珠花茶,250g,$318,,Dragon Pearl Jasmine Tea,
,8.1,龍珠花茶,70g (10x7g),$98,,Dragon Pearl Jasmine Tea,
,9,雲霧綠茶,250g,$168,,Mist Green Tea,
,10,特級碧螺春,250g,$338,,Superior Green Spiral Spring Tea / Superior Bi Luo Chun Tea,
,11,明前毛尖,125g,$280,,Premium Maojian tea,
,SO1,稀有明前獅峰龍井,250g,"$12,800",,Rare Premium Lion Peak Longjing Tea,
,SO2,稀有明前碧螺春,150g,"$4,800",,Rare Bi Luo Chun Tea,
,,,,,,,
,,,,,,,
,紅茶,,,,,,
,1,正山小種,125g,$148,,Lapsang Souchong Tea,
,2,松針紅茶,300g,$888,,Pine Needle Black Tea,
,3,金駿眉,125g,$368,,Jin Jun Mei Tea,
,4,桂花九曲紅梅紅茶,150g,$338,,Osmanthus Black Tea,
,5,精選松針紅茶,150g,$118,,Deluxe Pine Needle Black Tea,
,,,,,,,
,,,,,,,
,,,,,,,
,青茶 / 烏龍茶,,,,,,
,1,極品鐵觀音,250g,$168,,Top-Grade Tie-Guan-Yin,
,2,馬騮搣,250g,$268,,Monkey Pick Tie-Guan-Yin Tea,
,3,極品觀音皇,250g,$388,,King of Tie-Guan-Yin,
,4,精選觀音皇,250g,$468,,Deluxe Tie-Guan-Yin,
,5,參賽觀音皇,250g,$498,,Champion of Tie-Guan-Yin,
,6,招牌觀音皇,250g,$698,,Signature Tea of Tie-Guan-Yin,
,7,金牌觀音皇,250g,"$2,180",,Gold Signature Tea of Tie-Guan-Yin,
,8,桂花烏龍,250g,$118,,Osmanthus Oolong Tea,
,9,炭燒烏龍,250g,$68,,Roasted Oolong Tea,
,10,安溪鐵觀音,250g,$68,,Anxi Tie-Guan-Yin Tea,
,11,蘭貴人,250g,$168,,Ginseng Oolong Tea,
,12,鳳凰單叢 鴨屎香,125g,$348,,Phoenix Oolong Milky Honeysuckle Flavour,
,13,烏崬單叢 黃枝香,250g,$218,,Phoenix Oolong Yellow Gardenia Flavour,
,14,大紅袍,250g,$218,,Da-hong-Pao Tea,
,15,大紅袍（濃香）,160g (20x8g),$380,,Da-hong-Pao Tea (Strong Aroma),
,,,,,,,
,,,,,,,
,白茶,,,,,,
,1,壽眉王,120g,$88,,King of Shou-mei Tea,
,2,白毫銀針,125g,$368,,White Hair Silver Needle Tea,
,3,雪芽銀針,150g,$298,,White Bud Silver Needle Tea,
,4,精選雪芽牡丹,125g,$280,,Deluxe White Peony Tea,
,,,,,,,
,,,,,,,
,普洱 / 黑茶,,,,,,
,1,陳香普洱,500g,$380,,Pu-erh Tea,
,2,陳香宮廷普洱,250g,$268,,Top-Grade Pu-erh Tea,
,3,陳香宮廷普洱,500g,$536,,Top-Grade Pu-erh Tea,
,4,珍藏普洱,250g,$318,,Superior Pu-erh Tea,
,5,喬木普洱,250g,$498,,Arbor Pu-erh Tea,
,6,宮廷普洱,250g,$498,,Palace Pu-erh Tea,
,7,新會小青柑普洱茶,250g,$480,,Tangerine Pu-erh Tea,
,8,金芽宮廷普洱, 250g(30年),"$1,280",,Golden Palace Pu-erh Tea,
,9,六堡茶,125g(珍藏25年),$648,,Liu-Pao Tea,
,10,陳普金珠        ,200g,$480,,,
,,,,,,,
,普洱茶餅,,,,,,
,1,經典青餅,2007年(生茶),"$1,380",,Classic Celadon Pu-erh,
,2,班章王,2006年(熟茶),"$1,500",,King of Ban Zhang Pu-erh,
,3,宮廷普洱餅,2011年(熟茶）,"$1,280",,Palace Pu-erh,
,4,烘茶源班章宮廷普洱餅,2023年(熟茶）,$380,,HKTF Palace Pu-erh (2023),
,5,烘茶源班章青餅 ,2023年(生茶),$380,,HKTF Ban Zhang Celadon Pu-erh (2023),
,6,烘茶源班章宮廷普洱餅,2024年(熟茶）,$320,,HKTF Palace Pu-erh (2024),
,7,烘茶源班章青餅 ,2024年(生茶),$320,,HKTF Ban Zhang Celadon Pu-erh (2024),
,,,,,,,
,,,,,,,
,花茶,,,,,,
,1,金桂花,100g,$228,,Osmanthus Tea,
,2,粉紅玫瑰,150g,$228,,Pink Rose Tea,
,3,胎菊王,150g,$170,,King of Chrysanthemum Tea,
,4,胎菊王,120g (15x8g),$148,,King of Chrysanthemum Tea,
,5,小胎菊,120g (15x8g),$88,,Chrysanthemum Tea,
,6,野菊籽,160g (20x8g),$168,,Chrysanthemum Seed Tea,
,,,,,,,
,,,,,,,
,台灣頂級人蔘烏龍,,,,,,
,1,台灣頂級人蔘烏龍,80g (10x8g),$178,,Taiwan Ginseng Oolong Tea,
,2,台灣頂級人蔘烏龍,200g (25x8g),$398,,Taiwan Ginseng Oolong Tea,
,3,台灣頂級人蔘烏龍,250g,$480,,Taiwan Ginseng Oolong Tea,
,,,,,,,
,台灣茶,,,,,,
,1,福壽梨山茶,75g,$298,,Slamaw Oolong Tea,
,2,大禹嶺高山茶,75g,$328,,Dayuling Oolong Tea,
,2.1,大禹嶺高山茶,150g,$596,,Dayuling Oolong Tea,
,3,阿里山珠露茶,150g,$248,,Alishan Oolong Tea,
,4,阿里山金宣茶,150g,$248,,Alishan Jin Xuan Tea,
,5,文山包種茶,150g,$268,,Wenshen Paochong Tea,
,6,雪霸蜜香烏龍茶,150g,$288,,Shei Pa Honey Scented Oolong Tea,
,7,阿里山高山紅茶包,90g (3g x 30包),$238,,Alishan High Mountain Black Tea,
,7.1,阿里山高山紅茶包,30g (3g x 10包),$98,,Alishan High Mountain Black Tea,
,8,文山包種茶包,90g (3g x 30包),$238,,Wenshen Paochong Tea,
,8.1,文山包種茶包,30g (3g x 10包),$98,,Wenshen Paochong Tea,
,9,東方美人,150g,$538,,Oriental Beauty Tea,
,10,凍頂烏龍 ,150g,$480,,Dongding Oolong tea,
,11,凍頂紅水烏龍,150g,$538,,Dongding Red Oolong Tea,
,12,梨山高山烏龍,150g,$598,,Slamaw Oolong Tea,
,13,三峽蜜香紅茶,150g,$238,,Honey Scented Black Tea,
,,,,,,,
,,,,,,,
,蜜糖,,,,,,
,1,紫椴蜂蜜,450g,$168,,Amur Linden Honey,
,2,棗花蜂蜜,500g,$138,,Jujube Honey,
,3,洋槐蜂蜜,500g,$138,,Acacia Honey,
,4,椴樹蜂蜜,500g,$88,,Linden Honey,
,,,,,,,
,,,,,,,
,禮盒,,,,,,
,A1,招牌觀音皇 ＋ 鳳凰單叢 鴨屎香,80+60 = 140g,$438,,Signature Tea of Tie-Guan-Tin + Phoenix Oolong Milky Honeysuckle Flavour,
,A2,喬木普洱,160g,$338,,Arbor Pu-erh Tea,
,A3,馬騮摵,160g,$218,,Monkey Pick Tie-Guan-Yin Tea,
,B1,白毫銀針,72g,$248,,White Hair Silver Needle Tea,
,B2,精選觀音皇 + 鳳凰單叢 鴨屎香 + 大紅袍 (濃香),24+18+18=60g,$180,,Deluxe Tie-Guan-Yin + Phoenix Oolong Milky Honeysuckle Flavour + Da-Hong-Pao Tea (Strong Aroma),
,B3,珍藏普洱 + 頂級台灣人蔘烏龍 + 馬騮摵,24+24+24=72g,$148,,Superior Pu-erh Tea + Taiwan Ginseng Oolong Tea ＋Monkey Pick Tie-Guan-Yin Tea,
,B4,參賽觀音皇 + 龍珠花茶 + 正山小種,24+24+24=72g,$152,,Champion of Tie-Guan-Yin + Dragon Pearl Jasmine Tea + Lapsang Souchong Tea,
,C1,白毫銀針 + 招牌鐵觀音,100g+125g,$680,,"White Hair Silver Needle Tea , Signature Tea of Tie-Guan-Tin",
,C2,台灣頂級人蔘烏龍 + 龍珠花茶,250g + 250g,$780,,"Taiwan Ginseng Oolong Tea , Dragon Pearl Jasmine Tea",
,C3,大紅袍（濃香）+ 松針紅茶,100g (大紅) +125g (松針),$680,,"Da-hong-Pao Tea (Strong Aroma) , Pine Needle Black Tea",
,,,,,,,
,,,,,,,
,茶包,,,,,,
,1,台灣頂級人蔘烏龍茶包,45g (3gx15包),$98,,Taiwan Ginseng Oolong Tea Bag,
,2,春風香片茶包,45g (3gx15包),$68,,Jasmine Tea Bag,
,3,正山小種茶包,45g (3gx15包),$88,,Lapsang Souchong Tea Bag,
,4,陳香宮廷普洱茶包,45g (3gx15包),$68,,Top-Grade Pu-erh Tea Bag,
,5,桂花烏龍茶包,45g (3gx15包),$68,,Osmanthus Oolong Tea Bag,
,6,馬騮搣茶包,45g (3gx15包),$88,,Monkey Pick Tie-Guan-Yin Tea Bag,
,,,,,,,